k, vk experiment, vk error (sdev), vk background
0.289166	0.00252487	0.000412573 0.0
0.294622	0.00228989	0.000421257 0.0
0.300078	0.00225292	0.000487218 0.0
0.305534	0.00232232	0.000485011 0.0
0.31099	0.00238358	0.000550446     0.0
0.316446	0.00254985	0.000592854 0.0
0.321902	0.00254583	0.000602413 0.0
0.327358	0.00261015	0.000639302 0.0
0.332814	0.00253399	0.000724292 0.0
0.33827	0.00242023	0.000664491     0.0
0.343726	0.00251758	0.000625964 0.0
0.349182	0.00261215	0.000558759 0.0
0.354638	0.00273638	0.000562566 0.0
0.360094	0.00282825	0.000583573 0.0
0.36555	0.00326149	0.000570862     0.0
0.371006	0.00388708	0.000626758 0.0
0.376462	0.0045155	0.000669884 0.0
0.381918	0.00542944	0.000877157 0.0
0.387374	0.00643952	0.000910255 0.0
0.39283	0.00736462	0.000824823     0.0
0.398286	0.00815704	0.000859872 0.0
0.403742	0.00832307	0.000888641 0.0
0.409198	0.00815902	0.000884066 0.0
0.414654	0.00800676	0.000848353 0.0
0.42011	0.00775799	0.00085254      0.0
0.425566	0.0072172	0.000920188 0.0
0.431022	0.00674331	0.000856865 0.0
0.436478	0.00663734	0.0009399   0.0
0.441934	0.00652219	0.000908068 0.0
0.44739	0.00634389	0.000943007     0.0
0.452846	0.00602019	0.000771062 0.0
0.458301	0.00556714	0.000640152 0.0
0.463757	0.0051574	0.000575016 0.0
0.469213	0.00478102	0.00054269  0.0
0.474669	0.00425722	0.000538485 0.0
0.480125	0.00364837	0.00048808  0.0
0.485581	0.00323364	0.000397673 0.0
0.491037	0.00301938	0.000379546 0.0
0.496493	0.0027493	0.00033821  0.0
0.501949	0.00243057	0.000359458 0.0
0.507405	0.00202291	0.000328485 0.0
0.512861	0.00168298	0.000292509 0.0
0.518317	0.00148933	0.000259506 0.0
0.523773	0.00142781	0.000242327 0.0
0.529229	0.0014697	0.00026416  0.0
0.534685	0.00151582	0.000307636 0.0
0.540141	0.00144564	0.000356673 0.0
0.545597	0.00124002	0.000307268 0.0
0.551053	0.00107051	0.000297763 0.0
0.556509	0.000888563	0.000285536 0.0
0.561965	0.000696544	0.000288409 0.0
0.567421	0.000552714	0.00032541  0.0
0.572877	0.000521008	0.000331481 0.0
0.578333	0.000603141	0.000314001 0.0
0.583789	0.000589758	0.000313184 0.0
0.589245	0.000584947	0.000300515 0.0
0.594701	0.000558177	0.000300562 0.0
0.600157	0.000427644	0.000272928 0.0
0.605613	0.000267929	0.000260796 0.0
0.611069	0.000313721	0.000258403 0.0
0.616525	0.000439639	0.000273469 0.0
0.621981	0.000622222	0.000272855 0.0
0.627437	0.000746178	0.000292882 0.0
0.632893	0.000793502	0.000295471 0.0
0.638348	0.000887025	0.000281193 0.0
0.643804	0.000750268	0.000295556 0.0
0.64926	0.000845788	0.000317658     0.0
0.654716	0.00100599	0.000338159 0.0
0.660172	0.00116945	0.000370311 0.0
0.665628	0.00123327	0.000376276 0.0
0.671084	0.00123609	0.000363696 0.0
0.67654	0.0012433	0.000356598     0.0
0.681996	0.00140637	0.000407842 0.0
0.687452	0.00165229	0.000462572 0.0
0.692908	0.00187671	0.000472836 0.0
0.698364	0.00195479	0.000483084 0.0
0.70382	0.00193004	0.000453353     0.0
0.709276	0.00197071	0.000388241 0.0
0.714732	0.00193747	0.000361859 0.0
0.720188	0.00184919	0.00031669  0.0
0.725644	0.00174429	0.000291677 0.0
0.7311	0.00162803	0.000273052     0.0
0.736556	0.00156018	0.000256769 0.0
0.742012	0.00141112	0.00026311  0.0
0.747468	0.00143632	0.000264071 0.0
0.752924	0.00167401	0.00026411  0.0
0.75838	0.00186685	0.000328866     0.0
0.763836	0.0019834	0.000333217 0.0
0.769292	0.0019538	0.000297304 0.0
0.774748	0.00186032	0.000257222 0.0
0.780204	0.00174745	0.000243271 0.0
0.78566	0.00089079	0.00090428      0.0
0.791116	0.00165391	0.000215015 0.0
0.796572	0.00159396	0.000199059 0.0
0.802028	0.00156884	0.000213397 0.0
0.807484	0.00154749	0.000214654 0.0
0.81294	0.00151416	0.000233814     0.0
0.818396	0.00153375	0.000249653 0.0
0.823851	0.00155927	0.000236398 0.0
0.829307	0.00158513	0.000247919 0.0
0.834763	0.00156688	0.000219169 0.0
0.840219	0.00150897	0.000201636 0.0
0.845675	0.00140131	0.00019865  0.0
-1
